Variable,Mean,STD,Min,Max,N,Year Range,Number of Countries
Survey_Belief_%,42.85,10.52,16.0,65.0,141,2021-2022,111
R_Choice,0.13,0.34,0.0,1.0,7298,1982-2022,178
num_supply_policy,1.64,2.88,0.0,22.0,8272,1980-2023,188
annex_one,0.15,0.36,0.0,1.0,8272,1980-2023,188
logGDPpc,9.13,1.17,6.08,12.0,9290,1960-2022,248
WDI_NG_El_%,18.1,26.0,0.0,100.0,9290,1960-2022,248
WDI_Coal_El_%,18.65,25.74,0.0,100.0,9290,1960-2022,248
BP_GasR2P_yr,116.04,250.43,0.0,3170.0,2481,1980-2020,65
HHI_Coal_Import,0.67,0.31,0.0,1.0,4668,1995-2021,225
NetValue_Coal_ImportK,0.0,3496.93,-52647.65,28314.0,4668,1995-2021,225
HHI_Gas_Import,0.75,0.32,0.0,1.0,4370,1995-2021,223
NetValue_Gas_ImportK,-0.0,5721.25,-68586.15,71566.0,4370,1995-2021,223
