ISO,L,x0,k,start_year,ratio,max_capacity,R2,TWh,rate,rate_percent,rate_Cherp,AR6_R10
DEU,52.1871,2025.4989521691746,0.3470518179499925,2016.0,0.7835231311952571,52.1871,0.8768401056804822,582.28,-4.527906982134514,-17.352590897499624,-7.776167792358512,R10EUROPE
USA,333.74401,2023.545430358794,0.26522447171120433,2012.0,0.6353422193255244,333.74401,0.9390923765351133,4296.88,-22.129269684757226,-13.261223585560217,-5.150078588361143,R10NORTH_AM
BGR,6.146,2036.413374625711,0.09936202097964464,2013.0,0.8377806703547023,6.146,0.3738842184494854,50.58,-0.15266974523522397,-4.968101048982232,-3.018381677248398,R10EUROPE
CZE,8.921100000000001,2028.316492686703,0.26600693975936696,2008.0,0.84065866316934,8.921100000000001,0.6578763160114811,85.11,-0.5932686275718222,-13.300346987968348,-6.970610123038682,R10EUROPE
ESP,13.7206,2019.493498169976,0.36614417340623767,2006.0,0.21467720070550853,13.7206,0.9010557777439504,270.89,-1.255929436409406,-18.307208670311883,-4.636307860790011,R10EUROPE
ITA,9.827,2024.2479299740048,0.3096201925114626,2014.0,0.6925816627658492,9.827,0.9017411075696782,278.86,-0.7606594079525357,-15.481009625573131,-2.7277465680002,R10EUROPE
GBR,34.6565,2015.8574528508923,0.29892837871923467,2000.0,0.15102506023401094,34.6565,0.9858650359808864,336.28,-2.589952839270789,-14.946418935961733,-7.701774828329931,R10EUROPE
CAN,18.5442,2017.0459274769285,0.1875732786684853,2000.0,0.25381520906806443,18.5442,0.9355535048665377,644.7,-0.8695990985710313,-9.378663933424265,-1.3488430255483657,R10NORTH_AM
AUS,30.514,2029.2548668463687,0.16657352044351617,2010.0,0.800845513534771,30.514,0.8089096751219818,251.68,-1.270706100703363,-8.32867602217581,-5.048895822883674,R10PAC_OECD
FRA,8.448,2017.37165166761,0.2320128581892646,2000.0,0.2967566287878788,8.448,0.9139332105301159,556.08,-0.49001115649572685,-11.600642909463229,-0.8811882399937542,R10EUROPE
GRC,5.208,2021.178871973249,0.40418727620750666,2010.0,0.4272273425499232,5.208,0.9772359881225675,52.44,-0.5262518336221736,-20.20936381037533,-10.035313379522762,R10EUROPE
ROU,7.405,2021.332294224826,0.31104943143311464,2006.0,0.4436191762322755,7.405,0.9563329988050053,56.3,-0.5758302599405535,-15.552471571655731,-10.227890940329546,R10EUROPE
