"","R_Choice","num_supply_policy","WDI_Coal_El_.","WDI_NG_El_.","Share_VRE_Gen","Coal_logCurrent_MW","Gas_logCurrent_MW","LogBP_GasR2P_yr","HHI_Coal_Import","HHI_Gas_Import","NetValue_Coal_Import","NetValue_Gas_Import"
"R_Choice",1,0.280310549641869,0.0718146868095419,-0.184896357765328,0.384152119003601,0.27475929772979,0.209212026723505,0.0508005800868014,-0.263550022538743,-0.151514793884154,-0.0363860926711627,0.112023388213849
"num_supply_policy",0.280310549641869,1,0.00642070999516148,-0.0634782067289668,0.465955391477334,0.250557296412044,0.223630101742132,0.0484835299661156,-0.18399696275202,-0.192529540040055,0.0497651079184403,0.160870110922336
"WDI_Coal_El_.",0.0718146868095419,0.00642070999516148,1,-0.45773294084689,-0.0182703297813482,0.666988624869859,-0.218099601965634,0.128308931836473,-0.172005936937701,0.0190715720812779,-0.0387878329369671,0.140433298899208
"WDI_NG_El_.",-0.184896357765328,-0.0634782067289668,-0.45773294084689,1,-0.103300546172482,-0.447285205330281,0.46548536053516,0.00321754414025087,0.144118422448529,-0.0248879185555907,0.00134918088716174,-0.155384549842736
"Share_VRE_Gen",0.384152119003601,0.465955391477334,-0.0182703297813482,-0.103300546172482,1,0.123984404411232,0.101681476489319,-0.117918674855292,-0.102528902187934,-0.127957378215679,0.0209783109208319,0.113641329348621
"Coal_logCurrent_MW",0.27475929772979,0.250557296412044,0.666988624869859,-0.447285205330281,0.123984404411232,1,0.0824353007648716,0.282222589861144,-0.368233913755068,-0.0941614256413852,0.0163472126334779,0.24928055210065
"Gas_logCurrent_MW",0.209212026723505,0.223630101742132,-0.218099601965634,0.46548536053516,0.101681476489319,0.0824353007648716,1,0.328152884972954,-0.264567264860328,-0.15696448308873,0.0324025551177897,0.066295108094944
"LogBP_GasR2P_yr",0.0508005800868014,0.0484835299661156,0.128308931836473,0.00321754414025087,-0.117918674855292,0.282222589861144,0.328152884972954,1,-0.0840278280465237,0.0128914858623963,-0.133660799211503,-0.149084618453321
"HHI_Coal_Import",-0.263550022538743,-0.18399696275202,-0.172005936937701,0.144118422448529,-0.102528902187934,-0.368233913755068,-0.264567264860328,-0.0840278280465237,1,0.107982217611489,-0.110699550307584,-0.1587261990243
"HHI_Gas_Import",-0.151514793884154,-0.192529540040055,0.0190715720812779,-0.0248879185555907,-0.127957378215679,-0.0941614256413852,-0.15696448308873,0.0128914858623963,0.107982217611489,1,-0.192674254140873,-0.215448852875205
"NetValue_Coal_Import",-0.0363860926711627,0.0497651079184403,-0.0387878329369671,0.00134918088716174,0.0209783109208319,0.0163472126334779,0.0324025551177897,-0.133660799211503,-0.110699550307584,-0.192674254140873,1,0.49951658746637
"NetValue_Gas_Import",0.112023388213849,0.160870110922336,0.140433298899208,-0.155384549842736,0.113641329348621,0.24928055210065,0.066295108094944,-0.149084618453321,-0.1587261990243,-0.215448852875205,0.49951658746637,1
